"PORT_NAME","LATITUDE","LONGITUDE"
"portsmouth",36.816667,-76.3
"newport news",36.966667,-76.433333
"warwick",37.45,-77.416667
"richmond",37.533333,-77.416667
"elizabeth city",36.3,-76.216667
"hertford",36.183333,-76.466667
"edenton",36.05,-76.616667
"plymouth",35.866667,-76.75
"columbia",35.916667,-76.25
"belhaven",35.616667,-76.616667
"washington",35.55,-77.05
"bayboro",35.15,-76.766667
"new bern",35.1,-77.05
"beaufort",34.716667,-76.666667
"morehead city",34.716667,-76.7
"swansboro",34.683333,-77.133333
"wrightsville",34.216667,-77.816667
"wilmington",34.233333,-77.95
"southport",33.916667,-78.016667
"georgetown",33.366667,-79.283333
"charleston",32.783333,-79.916667
"port royal",32.366667,-80.683333
"beaufort",32.033333,-80.666667
"savannah",32.083333,-81.083333
"darien",31.366667,-81.433333
"philadelphia",39.95,-75.133333
"brooklyn",40.666667,-74.016667
"new york city",40.7,-74.016667
"patchogue",40.75,-73.016667
"yonkers",40.933333,-73.9
"newburgh",41.5,-74
"poughkeepsie",41.7,-73.95
"kingston",41.933333,-73.966667
"catskill",42.216667,-73.85
"albany",42.65,-73.75
"rensselaer",42.65,-73.75
"troy",42.733333,-73.7
"edgewater",40.816667,-73.983333
"weehawken",40.766667,-74.016667
"hoboken",40.75,-74.016667
"jersey city",40.716667,-74.033333
"bayonne",40.683333,-74.1
"newark",40.7,-74.15
"elizabethport",40.65,-74.183333
"stapleton si",40.633333,-74.066667
"tompkinsville si",40.633333,-74.066667
"port richmond si",40.65,-74.133333
"mariners harbor si",40.633333,-74.166667
"gulfport si",40.633333,-74.2
"port socony",40.55,-74.25
"bayway",40.633333,-74.2
"grasselli",40.616667,-74.2
"carteret",40.583333,-74.216667
"chrome",40.566667,-74.216667
"port reading",40.566667,-74.233333
"sewaren",40.55,-74.25
"maurer",40.533333,-74.25
"perth amboy",40.5,-74.266667
"sayreville",40.466667,-74.366667
"south amboy",40.483333,-74.266667
"leonardo",40.433333,-74.066667
"barnegat",39.766667,-74.1
"atlantic city",39.366667,-74.416667
"salem nj",39.666667,-75.483333
"new castle",39.65,-75.566667
"deepwater point",39.7,-75.516667
"wilmington",39.733333,-75.55
"marcus hook",39.816667,-75.416667
"chester",39.85,-75.35
"city island",40.85,-73.783333
"gloucester",42.6,-70.666667
"beverly",42.533333,-70.883333
"salem",42.516667,-70.883333
"marblehead",42.5,-70.85
"lynn",42.45,-70.95
"boston",42.35,-71.05
"quincy",42.25,-70.966667
"scituate",42.2,-70.716667
"plymouth",41.95,-70.666667
"provincetown",42.05,-70.183333
"hyannis",41.65,-70.283333
"hyannis port",41.633333,-70.3
"falmouth",41.55,-70.616667
"nantucket",41.283333,-70.1
"edgartown",41.383333,-70.5
"vineyard haven",41.45,-70.6
"woods hole",41.516667,-70.666667
"new bedford",41.633333,-70.916667
"newport",41.5,-71.333333
"fall river",41.7,-71.166667
"tiverton",41.633333,-71.216667
"bristol",41.666667,-71.266667
"providence",41.8,-71.4
"quonset point",41.583333,-71.4
"davisville depot",41.616667,-71.4
"montauk harbor",41.066667,-71.933333
"greenport",41.1,-72.366667
"stonington",41.333333,-71.9
"noank",41.316667,-71.983333
"mystic",41.35,-71.966667
"new london",41.35,-72.083333
"norwich",41.516667,-72.083333
"essex",41.35,-72.383333
"new haven",41.233333,-72.916667
"port jefferson",40.95,-73.083333
"bridgeport",41.166667,-73.183333
"southport",41.133333,-73.283333
"norwalk",41.1,-73.416667
"stamford",41.033333,-73.55
"greenwich",41.016667,-73.616667
"port chester",41,-73.666667
"newburyport",42.816667,-70.866667
"rockport",42.666667,-70.616667
"winter harbor",44.383333,-68.083333
"sorrento",44.466667,-68.183333
"bar harbor",44.383333,-68.2
"northeast harbor",44.3,-68.283333
"southwest harbor",44.283333,-68.316667
"mount desert",44.366667,-68.333333
"frenchboro",44.116667,-68.366667
"minturn",44.15,-68.45
"swans island",44.133333,-68.45
"bass harbor",44.233333,-68.35
"ellsworth",44.55,-68.416667
"brooklin",44.266667,-68.583333
"bucks harbor",44.333333,-68.733333
"stonington",44.15,-68.666667
"criehaven",43.833333,-68.883333
"matinicus",43.866667,-68.883333
"vinalhaven",44.05,-68.833333
"north haven",44.133333,-68.866667
"castine",44.383333,-68.733333
"sandypoint",44.516667,-68.816667
"bucksport",44.566667,-68.783333
"winterport",44.633333,-68.85
"bangor",44.8,-68.766667
"searsport",44.45,-68.916667
"belfast",44.416667,-69
"camden",44.216667,-69.066667
"rockport",44.183333,-69.066667
"rockland",44.1,-69.1
"monhegan",43.766667,-69.316667
"port clyde",43.916667,-69.25
"thomaston",44.066667,-69.183333
"friendship",43.966667,-69.333333
"new harbor",43.866667,-69.483333
"pemaquid beach",43.866667,-69.533333
"south bristol",43.866667,-69.55
"boothbay harbor",43.866667,-69.583333
"robinhood",43.85,-69.733333
"bath",43.916667,-69.816667
"gardiner",44.233333,-69.766667
"augusta",44.316667,-69.766667
"cundy harbor",43.783333,-69.9
"south harpswell",43.733333,-70.016667
"portland",43.666667,-70.25
"saco",43.5,-70.45
"kennebunkport",43.366667,-70.466667
"portsmouth",43.083333,-70.75
"corea",44.4,-67.966667
"eastport",44.9,-66.983333
"lubec",44.866667,-66.983333
"machiasport",44.7,-67.4
"machias",44.716667,-67.466667
"jonesport",44.533333,-67.616667
"wyman",44.516667,-67.866667
"milbridge",44.533333,-67.883333
"port wing",46.783333,-91.383333
"superior",46.733333,-92.066667
"duluth",46.766667,-92.1
"two harbors",47.016667,-91.65
"grand marais",47.75,-90.333333
"washington harbor",47.916667,-89.15
"cornucopia",46.866667,-91.1
"sturgeon bay",44.833333,-87.383333
"green bay",44.516667,-88.016667
"depere",44.45,-88.066667
"kaukauna",44.283333,-88.266667
"oconto",44.9,-87.833333
"marinette",45.083333,-87.6
"menominee",45.1,-87.6
"escanaba",45.766667,-87.05
"gladstone",45.85,-87.016667
"nahma",45.833333,-86.666667
"manistique",45.95,-86.25
"port inland",45.966667,-85.866667
"grand marais",46.683333,-85.966667
"munising",46.416667,-86.65
"marquette",46.533333,-87.383333
"presque isle",46.566667,-87.383333
"l anse",46.766667,-88.466667
"baraga",46.783333,-88.483333
"copper harbor",47.466667,-87.866667
"eagle harbor",47.466667,-88.166667
"houghton",47.116667,-88.566667
"ontonagon",46.883333,-89.333333
"ashland",46.6,-90.866667
"washburn",46.666667,-90.883333
"bayfield",46.8,-90.816667
"la pointe",46.783333,-90.783333
"two rivers",44.15,-87.566667
"kewaunee",44.466667,-87.5
"algoma",44.6,-87.433333
"saginaw",43.433333,-83.933333
"alabaster",44.183333,-83.55
"tawas city",44.266667,-83.5
"au sable",44.4,-83.316667
"oscoda",44.416667,-83.316667
"alpena",45.066667,-83.416667
"rockport",45.2,-83.383333
"calcite",45.416667,-83.783333
"rogers city",45.45,-83.816667
"cheboygan",45.65,-84.466667
"mackinaw city",45.783333,-84.716667
"mackinac island",45.85,-84.616667
"st ignace",45.85,-84.716667
"sault ste marie",46.5,-84.35
"st. james harbor",45.733333,-85.516667
"harbor springs",45.433333,-84.983333
"petoskey",45.366667,-84.966667
"charlevoix",45.316667,-85.266667
"traverse city",44.766667,-85.616667
"leland",45.016667,-85.766667
"frankfort",44.633333,-86.25
"manistee",44.25,-86.316667
"ludington",43.95,-86.45
"white lake",43.383333,-86.35
"muskegon",43.233333,-86.266667
"grand haven",43.066667,-86.233333
"holland",42.783333,-86.133333
"saugatuck",42.666667,-86.2
"south haven",42.4,-86.283333
"st joseph",42.116667,-86.483333
"michigan city",41.733333,-86.9
"gary",41.616667,-87.333333
"buffington",41.633333,-87.416667
"indiana harbor",41.666667,-87.433333
"calumet harbor",41.733333,-87.516667
"chicago",41.883333,-87.6
"wilmette",42.083333,-87.683333
"great lakes",42.3,-87.833333
"waukegan",42.366667,-87.816667
"kenosha",42.583333,-87.816667
"racine",42.733333,-87.783333
"milwaukee",43.033333,-87.883333
"port washington",43.383333,-87.866667
"sheboygan",43.75,-87.7
"manitowoc",44.1,-87.65
"port hope",43.95,-82.7
"bay city",43.6,-83.866667
"algonac",42.616667,-82.516667
"marine city",42.716667,-82.5
"st clair",42.816667,-82.483333
"port huron",43,-82.433333
"harbor beach",43.85,-82.65
"sodus bay",43.266667,-76.983333
"rochester",43.266667,-77.6
"youngstown",43.25,-79.05
"tonawanda",43.033333,-78.883333
"buffalo",42.883333,-78.883333
"dunkirk",42.483333,-79.333333
"erie",42.15,-80.1
"conneaut",41.966667,-80.55
